ICON - Carteira do Dia 08/03/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
AALR3;ALLIAR;ON      NM;46.716.473;0,071;
ALPA4;ALPARGATAS;PN      N1;168.770.200;0,992;
ABEV3;AMBEV S/A;ON;4.355.174.839;10,493;
ANIM3;ANIMA;ON      NM;222.330.771;0,314;
ARZZ3;AREZZO CO;ON      NM;45.095.471;0,566;
ASAI3;ASSAI;ON      NM;157.635.935;1,889;
BTOW3;B2W DIGITAL;ON      NM;201.549.295;2,302;
BKBR3;BK BRASIL;ON      NM;272.245.759;0,391;
BRFS3;BRF SA;ON      NM;811.759.800;3,057;
CAML3;CAMIL;ON      NM;120.754.497;0,217;
CRFB3;CARREFOUR BR;ON      NM;391.758.726;1,226;
CEAB3;CEA MODAS;ON      NM;106.394.635;0,187;
CNTO3;CENTAURO;ON      NM;88.709.474;0,339;
HGTX3;CIA HERING;ON      NM;126.186.408;0,319;
COGN3;COGNA ON;ON      NM;1.847.994.874;1,202;
CVCB3;CVC BRASIL;ON      NM;172.756.818;0,449;
CYRE3;CYRELA REALT;ON      NM;281.154.098;1,118;
DIRR3;DIRECIONAL;ON      NM;81.360.368;0,164;
EVEN3;EVEN;ON      NM;209.535.948;0,360;
EZTC3;EZTEC;ON      NM;95.756.217;0,504;
FLRY3;FLEURY;ON  ED  NM;303.800.430;1,222;
GFSA3;GAFISA;ON      NM;118.208.091;0,091;
GRND3;GRENDENE;ON      NM;271.155.206;0,337;
NTCO3;GRUPO NATURA;ON      NM;841.083.922;6,788;
SOMA3;GRUPO SOMA;ON      NM;207.792.500;0,437;
GUAR3;GUARARAPES;ON;81.944.760;0,177;
HAPV3;HAPVIDA;ON      NM;1.085.256.490;2,711;
HBOR3;HELBOR;ON      NM;65.261.522;0,089;
HYPE3;HYPERA;ON      NM;410.147.968;2,078;
PARD3;IHPARDINI;ON      NM;43.661.030;0,139;
MEAL3;IMC S/A;ON      NM;265.820.032;0,139;
GNDI3;INTERMEDICA;ON      NM;588.176.771;8,066;
MYPK3;IOCHP-MAXION;ON      NM;141.465.625;0,296;
JBSS3;JBS;ON      NM;1.500.315.048;6,628;
JHSF3;JHSF PART;ON      NM;288.952.690;0,317;
RENT3;LOCALIZA;ON      NM;592.069.308;5,754;
LCAM3;LOCAMERICA;ON      NM;323.763.077;1,283;
LAME3;LOJAS AMERIC;ON      N1;245.640.344;0,870;
LAME4;LOJAS AMERIC;PN      N1;843.325.974;3,223;
AMAR3;LOJAS MARISA;ON      NM;111.476.495;0,098;
LREN3;LOJAS RENNER;ON      NM;785.417.914;4,964;
MDIA3;M.DIASBRANCO;ON      NM;83.669.782;0,399;
MGLU3;MAGAZ LUIZA;ON      NM;2.668.955.512;10,716;
MRFG3;MARFRIG;ON      NM;368.864.634;0,883;
LEVE3;METAL LEVE;ON      NM;38.492.519;0,112;
BEEF3;MINERVA;ON      NM;239.331.676;0,375;
MTRE3;MITRE REALTY;ON      NM;54.039.454;0,107;
MOVI3;MOVIDA;ON      NM;132.113.940;0,363;
MRVE3;MRV;ON      NM;298.796.441;0,815;
ODPV3;ODONTOPREV;ON      NM;263.448.316;0,557;
PCAR3;P.ACUCAR-CBD;ON  EC  NM;157.635.935;0,577;
QUAL3;QUALICORP;ON      NM;283.467.789;1,553;
LJQQ3;QUERO-QUERO;ON      NM;177.127.526;0,476;
RADL3;RAIADROGASIL;ON      NM;1.072.645.150;4,065;
SMTO3;SAO MARTINHO;ON      NM;143.032.073;0,731;
SEER3;SER EDUCA;ON      NM;54.346.207;0,104;
SLCE3;SLC AGRICOLA;ON      NM;86.086.214;0,602;
SMLS3;SMILES;ON      NM;58.849.204;0,202;
TCSA3;TECNISA;ON      NM;54.494.584;0,068;
TEND3;TENDA;ON      NM;96.408.761;0,405;
TRIS3;TRISUL;ON      NM;78.643.944;0,126;
VVAR3;VIAVAREJO;ON      NM;1.595.083.594;3,066;
VIVA3;VIVARA S.A.;ON      NM;93.368.726;0,360;
VULC3;VULCABRAS;ON      NM;74.685.291;0,091;
YDUQ3;YDUQS PART;ON      NM;300.483.575;1,380;
Quantidade Teórica Total;;;27.392.446.650;100,000
Redutor;;;121.324.553,17882165
