IEEX - Carteira do Dia 08/03/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TIET11;AES TIETE E;UNT ED  N2;11.700;5,923;
ALUP11;ALUPAR;UNT     N2;7.200;5,458;
CMIG4;CEMIG;PN      N1;13.300;4,966;
CESP6;CESP;PNB     N1;6.600;5,674;
COCE5;COELCE;PNA;3.300;5,449;
CPLE6;COPEL;PNB     N1;2.600;4,977;
CPFE3;CPFL ENERGIA;ON      NM;6.000;5,524;
ELET3;ELETROBRAS;ON      N1;5.600;5,574;
ENBR3;ENERGIAS BR;ON      NM;9.900;5,750;
ENGI11;ENERGISA;UNT     N2;3.800;5,255;
ENEV3;ENEVA;ON      NM;3.300;6,713;
EGIE3;ENGIE BRASIL;ON      NM;4.300;5,421;
EQTL3;EQUATORIAL;ON      NM;8.400;5,563;
LIGT3;LIGHT S/A;ON      NM;7.900;4,652;
NEOE3;NEOENERGIA;ON      NM;11.200;5,863;
OMGE3;OMEGA GER;ON      NM;4.900;5,910;
TAEE11;TAESA;UNT     N2;5.800;5,874;
TRPL4;TRAN PAULIST;PN  ED  N1;7.100;5,454;
Quantidade Teórica Total;;;122.900;100,000
Redutor;;;42,28333911
