IMAT - Carteira do Dia 08/03/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
BRAP4;BRADESPAR;PN      N1;222.075.664;6,993;
BRKM5;BRASKEM;PNA     N1;264.640.575;3,808;
DTEX3;DURATEX;ON      NM;273.421.574;2,392;
GGBR4;GERDAU;PN      N1;995.903.643;12,966;
GOAU4;GERDAU MET;PN      N1;693.699.918;4,081;
KLBN11;KLABIN S/A;UNT     N2;788.757.519;11,414;
CSNA3;SID NACIONAL;ON;642.398.790;11,204;
SUZB3;SUZANO S.A.;ON      NM;624.261.354;22,394;
UNIP6;UNIPAR;PNB;43.997.898;1,134;
USIM5;USIMINAS;PNA     N1;513.729.947;4,308;
VALE3;VALE;ON  EDJ NM;408.690.631;19,306;
Quantidade Teórica Total;;;5.471.577.513;100,000
Redutor;;;33.022.842,53483134
