IMOB - Carteira do Dia 08/03/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALSO3;ALIANSCSONAE;ON      NM;127.376.805;6,344;
BRML3;BR MALLS PAR;ON      NM;843.728.684;14,657;
BRPR3;BR PROPERT;ON      NM;198.812.616;3,390;
CYRE3;CYRELA REALT;ON      NM;281.154.098;13,935;
DIRR3;DIRECIONAL;ON      NM;81.360.368;2,049;
EVEN3;EVEN;ON      NM;209.535.948;4,487;
EZTC3;EZTEC;ON      NM;95.756.217;6,280;
GFSA3;GAFISA;ON      NM;118.208.091;1,140;
HBOR3;HELBOR;ON      NM;65.261.522;1,114;
IGTA3;IGUATEMI;ON      NM;85.796.919;5,622;
JPSA3;JEREISSATI;ON;34.833.911;1,647;
JHSF3;JHSF PART;ON      NM;288.952.690;3,955;
LOGG3;LOG COM PROP;ON  ED  NM;59.735.959;3,763;
LPSB3;LOPES BRASIL;ON      NM;114.874.308;0,858;
MTRE3;MITRE REALTY;ON      NM;54.039.454;1,335;
MRVE3;MRV;ON      NM;298.796.441;10,167;
MULT3;MULTIPLAN;ON      N2;276.848.567;11,791;
TCSA3;TECNISA;ON      NM;54.494.584;0,850;
TEND3;TENDA;ON      NM;96.408.761;5,051;
TRIS3;TRISUL;ON      NM;78.643.944;1,565;
Quantidade Teórica Total;;;3.464.619.887;100,000
Redutor;;;54.887.740,46066251
