INDX - Carteira do Dia 08/03/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALPA4;ALPARGATAS;PN      N1;168.770.200;1,360;
ABEV3;AMBEV S/A;ON;4.355.174.839;14,385;
BRKM5;BRASKEM;PNA     N1;264.640.575;1,770;
BRFS3;BRF SA;ON      NM;811.759.800;4,191;
CAML3;CAMIL;ON      NM;120.754.497;0,298;
HGTX3;CIA HERING;ON      NM;126.186.408;0,438;
CYRE3;CYRELA REALT;ON      NM;281.154.098;1,532;
DIRR3;DIRECIONAL;ON      NM;81.360.368;0,225;
DTEX3;DURATEX;ON      NM;273.421.574;1,112;
EMBR3;EMBRAER;ON      NM;736.143.105;2,067;
EVEN3;EVEN;ON      NM;209.535.948;0,493;
EZTC3;EZTEC;ON      NM;95.756.217;0,690;
GFSA3;GAFISA;ON      NM;118.208.091;0,125;
GGBR4;GERDAU;PN      N1;995.903.643;6,025;
GOAU4;GERDAU MET;PN      N1;693.699.918;1,897;
GRND3;GRENDENE;ON      NM;271.155.206;0,463;
NTCO3;GRUPO NATURA;ON      NM;841.083.922;9,305;
HBOR3;HELBOR;ON      NM;65.261.522;0,123;
MYPK3;IOCHP-MAXION;ON      NM;141.465.625;0,406;
JBSS3;JBS;ON      NM;1.500.315.048;9,086;
JHSF3;JHSF PART;ON      NM;288.952.690;0,435;
KLBN11;KLABIN S/A;UNT     N2;788.757.519;5,304;
MDIA3;M.DIASBRANCO;ON      NM;83.669.782;0,546;
POMO4;MARCOPOLO;PN      N2;573.419.889;0,329;
MRFG3;MARFRIG;ON      NM;368.864.634;1,210;
BEEF3;MINERVA;ON      NM;239.331.676;0,514;
MRVE3;MRV;ON      NM;298.796.441;1,118;
POSI3;POSITIVO TEC;ON      NM;78.616.498;0,073;
RAPT4;RANDON PART;PN      N1;177.421.406;0,513;
SMTO3;SAO MARTINHO;ON      NM;143.032.073;1,002;
CSNA3;SID NACIONAL;ON;642.398.790;5,206;
SUZB3;SUZANO S.A.;ON      NM;724.921.241;12,083;
TASA4;TAURUS ARMAS;PN      N2;41.237.496;0,190;
TCSA3;TECNISA;ON      NM;54.494.584;0,093;
TEND3;TENDA;ON      NM;96.408.761;0,555;
TRIS3;TRISUL;ON      NM;78.643.944;0,172;
TUPY3;TUPY;ON      NM;66.821.197;0,313;
USIM5;USIMINAS;PNA     N1;513.729.947;2,002;
VIVA3;VIVARA S.A.;ON      NM;93.368.726;0,493;
WEGE3;WEG;ON  ED  NM;741.148.001;11,858;
Quantidade Teórica Total;;;18.245.785.899;100,000
Redutor;;;18.445.477,40006111
