UTIL - Carteira do Dia 08/03/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TIET11;AES TIETE E;UNT ED  N2;301.873.417;2,635;
ALUP11;ALUPAR;UNT     N2;143.807.403;1,880;
CMIG3;CEMIG;ON      N1;238.976.793;1,855;
CMIG4;CEMIG;PN      N1;969.723.092;6,244;
CESP6;CESP;PNB     N1;182.017.689;2,698;
CSMG3;COPASA;ON  EJ  NM;188.444.559;1,454;
CPLE3;COPEL;ON      N1;60.002.482;1,927;
CPLE6;COPEL;PNB     N1;128.297.543;4,235;
CPFE3;CPFL ENERGIA;ON      NM;187.714.249;2,980;
ELET3;ELETROBRAS;ON      N1;358.018.408;6,144;
ELET6;ELETROBRAS;PNB     N1;242.977.127;4,283;
ENBR3;ENERGIAS BR;ON      NM;250.403.441;2,508;
ENGI11;ENERGISA;UNT     N2;250.679.709;5,977;
ENEV3;ENEVA;ON      NM;315.480.873;11,067;
EGIE3;ENGIE BRASIL;ON      NM;254.792.279;5,538;
EQTL3;EQUATORIAL;ON      NM;1.010.286.085;11,537;
LIGT3;LIGHT S/A;ON      NM;372.555.324;3,783;
NEOE3;NEOENERGIA;ON      NM;226.115.915;2,041;
OMGE3;OMEGA GER;ON      NM;126.111.275;2,623;
SBSP3;SABESP;ON      NM;339.999.111;6,887;
SAPR4;SANEPAR;PN      N2;203.503.821;0,446;
SAPR11;SANEPAR;UNT     N2;200.991.234;2,198;
TAEE11;TAESA;UNT     N2;218.568.274;3,817;
TRPL4;TRAN PAULIST;PN  ED  N1;395.797.044;5,243;
Quantidade Teórica Total;;;7.167.137.147;100,000
Redutor;;;23.460.632,14427850
